class,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,kp4_x,kp4_y,kp4_v,kp5_x,kp5_y,kp5_v,kp6_x,kp6_y,kp6_v,kp7_x,kp7_y,kp7_v,kp8_x,kp8_y,kp8_v,kp9_x,kp9_y,kp9_v,kp10_x,kp10_y,kp10_v,kp11_x,kp11_y,kp11_v,kp12_x,kp12_y,kp12_v,kp13_x,kp13_y,kp13_v,kp14_x,kp14_y,kp14_v,kp15_x,kp15_y,kp15_v,kp16_x,kp16_y,kp16_v,kp17_x,kp17_y,kp17_v
0,0.46953125,0.4041666666666667,1,0.465625,0.4,1,0.47265625,0.3972222222222222,1,0.4625,0.4097222222222222,2,0.4765625,0.40694444444444444,2,0.46328125,0.4388888888888889,2,0.47734375,0.42083333333333334,2,0.46015625,0.4861111111111111,2,0.46796875,0.48194444444444445,2,0.44609375,0.49583333333333335,2,0.4515625,0.5,2,0.47890625,0.5125,2,0.49609375,0.5055555555555555,2,0.4546875,0.5583333333333333,2,0.478125,0.5555555555555556,2,0.47109375,0.6236111111111111,2,0.49296875,0.6083333333333333,2,0.47109375,0.41944444444444445,2
0,0.46953125,0.4041666666666667,1,0.465625,0.4,1,0.47265625,0.3972222222222222,1,0.4625,0.4097222222222222,2,0.4765625,0.40694444444444444,2,0.46328125,0.4388888888888889,2,0.47734375,0.42083333333333334,2,0.46015625,0.4861111111111111,2,0.46796875,0.48194444444444445,2,0.44609375,0.49583333333333335,2,0.4515625,0.5,2,0.47890625,0.5125,2,0.49609375,0.5055555555555555,2,0.4546875,0.5583333333333333,2,0.478125,0.5555555555555556,2,0.47109375,0.6236111111111111,2,0.49296875,0.6083333333333333,2,0.47109375,0.41944444444444445,2
0,0.46953125,0.4041666666666667,1,0.465625,0.4,1,0.47265625,0.3972222222222222,1,0.4625,0.4097222222222222,2,0.4765625,0.40694444444444444,2,0.46328125,0.4388888888888889,2,0.47734375,0.42083333333333334,2,0.46015625,0.4861111111111111,2,0.46796875,0.48194444444444445,2,0.44609375,0.49583333333333335,2,0.4515625,0.5,2,0.47890625,0.5125,2,0.49609375,0.5055555555555555,2,0.4546875,0.5583333333333333,2,0.478125,0.5555555555555556,2,0.47109375,0.6236111111111111,2,0.49296875,0.6083333333333333,2,0.47109375,0.41944444444444445,2
0,0.46953125,0.4041666666666667,1,0.465625,0.4,1,0.47265625,0.3972222222222222,1,0.4625,0.4097222222222222,2,0.4765625,0.40694444444444444,2,0.46328125,0.4388888888888889,2,0.47734375,0.42083333333333334,2,0.46015625,0.4861111111111111,2,0.46796875,0.48194444444444445,2,0.44609375,0.49583333333333335,2,0.4515625,0.5,2,0.47890625,0.5125,2,0.49609375,0.5055555555555555,2,0.4546875,0.5583333333333333,2,0.478125,0.5555555555555556,2,0.47109375,0.6236111111111111,2,0.49296875,0.6083333333333333,2,0.47109375,0.41944444444444445,2
0,0.46953125,0.4041666666666667,1,0.465625,0.4,1,0.47265625,0.3972222222222222,1,0.4625,0.4097222222222222,2,0.4765625,0.40694444444444444,2,0.46328125,0.4388888888888889,2,0.47734375,0.42083333333333334,2,0.46015625,0.4861111111111111,2,0.46796875,0.48194444444444445,2,0.44609375,0.49583333333333335,2,0.4515625,0.5,2,0.47890625,0.5125,2,0.49609375,0.5055555555555555,2,0.4546875,0.5583333333333333,2,0.478125,0.5555555555555556,2,0.47109375,0.6236111111111111,2,0.49296875,0.6083333333333333,2,0.47109375,0.41944444444444445,2
0,0.46953125,0.4041666666666667,1,0.465625,0.4,1,0.47265625,0.3972222222222222,1,0.4625,0.4097222222222222,2,0.4765625,0.40694444444444444,2,0.46328125,0.4388888888888889,2,0.47734375,0.42083333333333334,2,0.46015625,0.4861111111111111,2,0.46796875,0.48194444444444445,2,0.44609375,0.49583333333333335,2,0.4515625,0.5,2,0.47890625,0.5125,2,0.49609375,0.5055555555555555,2,0.4546875,0.5583333333333333,2,0.478125,0.5555555555555556,2,0.47109375,0.6236111111111111,2,0.49296875,0.6083333333333333,2,0.47109375,0.41944444444444445,2
0,0.46953125,0.4041666666666667,1,0.465625,0.4,1,0.47265625,0.3972222222222222,1,0.4625,0.4097222222222222,2,0.4765625,0.40694444444444444,2,0.46328125,0.4388888888888889,2,0.47734375,0.42083333333333334,2,0.46015625,0.4861111111111111,2,0.46796875,0.48194444444444445,2,0.44609375,0.49583333333333335,2,0.4515625,0.5,2,0.47890625,0.5125,2,0.49609375,0.5055555555555555,2,0.4546875,0.5583333333333333,2,0.478125,0.5555555555555556,2,0.47109375,0.6236111111111111,2,0.49296875,0.6083333333333333,2,0.47109375,0.41944444444444445,2
0,0.43046875,0.41805555555555557,1,0.421875,0.4125,1,0.434375,0.40694444444444444,1,0.42109375,0.425,1,0.4375,0.41944444444444445,1,0.43046875,0.45694444444444443,2,0.43828125,0.44583333333333336,2,0.4265625,0.5027777777777778,2,0.4171875,0.49027777777777776,2,0.4046875,0.5333333333333333,2,0.40234375,0.5208333333333334,2,0.44765625,0.5277777777777778,2,0.4640625,0.5208333333333334,2,0.415625,0.5722222222222222,2,0.44765625,0.5791666666666667,2,0.41953125,0.6472222222222223,2,0.4859375,0.5986111111111111,2,0.4328125,0.43333333333333335,2
0,0.43046875,0.41805555555555557,1,0.421875,0.4125,1,0.434375,0.40694444444444444,1,0.42109375,0.425,1,0.4375,0.41944444444444445,1,0.43046875,0.45694444444444443,2,0.43828125,0.44583333333333336,2,0.4265625,0.5027777777777778,2,0.4171875,0.49027777777777776,2,0.4046875,0.5333333333333333,2,0.40234375,0.5208333333333334,2,0.44765625,0.5277777777777778,2,0.4640625,0.5208333333333334,2,0.415625,0.5722222222222222,2,0.44765625,0.5791666666666667,2,0.41953125,0.6472222222222223,2,0.4859375,0.5986111111111111,2,0.4328125,0.43333333333333335,2
0,0.43046875,0.41805555555555557,1,0.421875,0.4125,1,0.434375,0.40694444444444444,1,0.42109375,0.425,1,0.4375,0.41944444444444445,1,0.43046875,0.45694444444444443,2,0.43828125,0.44583333333333336,2,0.4265625,0.5027777777777778,2,0.4171875,0.49027777777777776,2,0.4046875,0.5333333333333333,2,0.40234375,0.5208333333333334,2,0.44765625,0.5277777777777778,2,0.4640625,0.5208333333333334,2,0.415625,0.5722222222222222,2,0.44765625,0.5791666666666667,2,0.41953125,0.6472222222222223,2,0.4859375,0.5986111111111111,2,0.4328125,0.43333333333333335,2
